2026-06-15T17:47:59.538Z | server_start | {"name":"redis-mcp-server","version":"1.0.0","logDir":"./logs","logFile":"logs/mcp-redis.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-06-15T17:47:59.542Z | initialize | {"protocolVersion":"2024-11-05","capabilities":{},"clientInfo":{"name":"@cline/core","version":"0.0.0"}} | SUCCESS | RESPONSE: null
2026-06-15T17:47:59.542Z | initialize | {"protocolVersion":"2024-11-05","capabilities":{},"clientInfo":{"name":"@cline/core","version":"0.0.0"}} | SUCCESS | RESPONSE: {"protocolVersion":"2024-11-05","capabilities":{"tools":{"listChanged":false}},"serverInfo":{"name":"redis-mcp-server","version":"1.0.0"}}
2026-06-15T17:48:15.407Z | server_start | {"name":"redis-mcp-server","version":"1.0.0","logDir":"./logs","logFile":"logs/mcp-redis.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-06-15T17:48:15.411Z | initialize | {"protocolVersion":"2024-11-05","capabilities":{},"clientInfo":{"name":"@cline/core","version":"0.0.0"}} | SUCCESS | RESPONSE: null
2026-06-15T17:48:15.411Z | initialize | {"protocolVersion":"2024-11-05","capabilities":{},"clientInfo":{"name":"@cline/core","version":"0.0.0"}} | SUCCESS | RESPONSE: {"protocolVersion":"2024-11-05","capabilities":{"tools":{"listChanged":false}},"serverInfo":{"name":"redis-mcp-server","version":"1.0.0"}}
2026-06-15T17:48:16.363Z | server_start | {"name":"redis-mcp-server","version":"1.0.0","logDir":"./logs","logFile":"logs/mcp-redis.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-06-15T17:48:16.366Z | initialize | {"protocolVersion":"2024-11-05","capabilities":{},"clientInfo":{"name":"@cline/core","version":"0.0.0"}} | SUCCESS | RESPONSE: null
2026-06-15T17:48:16.367Z | initialize | {"protocolVersion":"2024-11-05","capabilities":{},"clientInfo":{"name":"@cline/core","version":"0.0.0"}} | SUCCESS | RESPONSE: {"protocolVersion":"2024-11-05","capabilities":{"tools":{"listChanged":false}},"serverInfo":{"name":"redis-mcp-server","version":"1.0.0"}}
2026-06-15T17:48:18.955Z | server_start | {"name":"redis-mcp-server","version":"1.0.0","logDir":"./logs","logFile":"logs/mcp-redis.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-06-15T17:48:18.958Z | initialize | {"protocolVersion":"2024-11-05","capabilities":{},"clientInfo":{"name":"@cline/core","version":"0.0.0"}} | SUCCESS | RESPONSE: null
2026-06-15T17:48:18.958Z | initialize | {"protocolVersion":"2024-11-05","capabilities":{},"clientInfo":{"name":"@cline/core","version":"0.0.0"}} | SUCCESS | RESPONSE: {"protocolVersion":"2024-11-05","capabilities":{"tools":{"listChanged":false}},"serverInfo":{"name":"redis-mcp-server","version":"1.0.0"}}
2026-06-16T04:02:22.108Z | server_start | {"name":"redis-mcp-server","version":"1.0.0","logDir":"./logs","logFile":"logs/mcp-redis.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-06-16T04:02:22.111Z | initialize | {"protocolVersion":"2024-11-05","capabilities":{},"clientInfo":{"name":"@cline/core","version":"0.0.0"}} | SUCCESS | RESPONSE: null
2026-06-16T04:02:22.111Z | initialize | {"protocolVersion":"2024-11-05","capabilities":{},"clientInfo":{"name":"@cline/core","version":"0.0.0"}} | SUCCESS | RESPONSE: {"protocolVersion":"2024-11-05","capabilities":{"tools":{"listChanged":false}},"serverInfo":{"name":"redis-mcp-server","version":"1.0.0"}}
2026-06-16T04:02:23.011Z | server_start | {"name":"redis-mcp-server","version":"1.0.0","logDir":"./logs","logFile":"logs/mcp-redis.log"} | SUCCESS | RESPONSE: {"status":"started"}
